club_name,club_link
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
Southampton,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
Watford,https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2019-2020/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats
Bournemouth,https://fbref.com/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
Brighton,https://fbref.com/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
Burnley,https://fbref.com/en/squads/943e8050/2019-2020/Burnley-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2019-2020/Everton-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2019-2020/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2019-2020/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
Norwich City,https://fbref.com/en/squads/1c781004/2019-2020/Norwich-City-Stats
Sheffield Utd,https://fbref.com/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
Southampton,https://fbref.com/en/squads/33c895d4/2019-2020/Southampton-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
Watford,https://fbref.com/en/squads/2abfe087/2019-2020/Watford-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats
Brighton,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
Burnley,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats
Fulham,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats
Leeds United,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
Sheffield Utd,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
Southampton,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
West Brom,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2021-2022/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2021-2022/Aston-Villa-Stats
Brentford,https://fbref.com/en/squads/cd051869/2021-2022/Brentford-Stats
Brighton,https://fbref.com/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
Burnley,https://fbref.com/en/squads/943e8050/2021-2022/Burnley-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2021-2022/Everton-Stats
Leeds United,https://fbref.com/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
